text_clean,text_len,label
rt <user> : *rides into the pussy on a gym class butt scooter* <url>,68,offensive_language
broke bitches make me sick,26,offensive_language
rt <user> : chicken fries. <user> shake. perfection. <url>,58,neither
i'm thankful for dem big booty hoes doe realtalk,48,offensive_language
white bus drivers are all white trash. losangeles,49,hate_speech
rt <user> : real niggas can handle anything.. including any bitch or any nigga,78,offensive_language
padre /yankee/angel fans need to stfu,37,neither
what a fucking retard,21,offensive_language
"i'll eat ya pussy like a savage, but once you put ya nasty ass feet in my face my socks and drawers already on and i'm out",122,offensive_language
"rt <user> : if you don't like my tweets with my belief in jesus christ, please respect it, but don't mock it or make negative remarks& 8230 ;",141,neither
this bitch mentioned dr. ruff...i'm done.,41,offensive_language
oh my god oh my god.. i'm going to a bitch mob party today oh my god,68,offensive_language
i hate when i see a cold hoe tryna kick knowledge,49,offensive_language
& 128588 ;& 128588 ;& 128588 ; rt <user> : y'all excited about that strip mall being built in louisiana and claiborne?? that bitch gone be in fiya!!!! & 128514 ;& 128514 ;,171,offensive_language
<user> yuhh i'm finna hit that hoe! & 128513 ;& 128077 ;,56,offensive_language
how you look like big bad mama but make fun of a pretty bitch wow where they do that at ? <url>,95,offensive_language
i fink this catfish shit is funny afta all how can this bitch thinks that she was talking to bow wow doe & 128514 ;& 128514 ;& 128514 ;,135,offensive_language
<user> i love louis ck! quit bein a faggot and suck that dick,61,offensive_language
& 8220 ; <user> : never seen so many perfect bitches til i made a twitter & 128564 ; but & 128056 ;& 9749 ;& 65039 ;& 8221 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;& 128175 ;,694,offensive_language
"the devil wears charlie, by revlon. lesserfilms",47,neither
& 128514 ;& 128514 ;& 128514 ;& 128514 ; i hate you! rt <user> : cyrus ho is a rookie slut. getting the cash after the date? nope nope nope.,140,offensive_language
"<user> : <user> <user> once fag."" you got pressed to the ground? ..hang up your cleats n never put them back on or think about it",129,neither
some jihadi posted a bio of the isis boss mr awad with excellent sociological info. can't thank him/her enough for the gift.,124,neither
<user> if you hate men so much why you trying to look like one? stupid little cunt,82,offensive_language
"<user> like...charlie chan-style? (never saw that, either.) hmm...makes me think of the ""cockneys"" in the killzone series.",122,neither
for all you hoes know i could be dj zetti,41,offensive_language
jealousy will make a bitch do anything. thirst will make a nigga do anything.,77,offensive_language
<user> can a quote this and tag a bitch,39,offensive_language
where this brolic bitch at ? lol <url>,38,offensive_language
rt <user> : it ain't nothing to & 9986 ;& 65039 ; that bitch off & 128075 ;& 128514 ;,85,offensive_language
